"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"1",3,1,"metropolitan",1,2,0.3,2253,2.85,1.212781412
"2",4,1,"urban",2,3,0.3,2751,0.49,0.936544048
"3",4,1,"urban",2,3,0.3,2751,5.7,1.225885756
"4",4,1,"urban",2,3,0.3,2751,0.98,1.056362832
"5",4,1,"urban",2,3,0.3,2751,0.95,1.056362832
"6",4,0,"metropolitan",2,3,0.05,2611,0.2,0.793334761
"7",4,0,"metropolitan",2,3,0.05,2611,0.2,0.309809456
"8",4,0,"metropolitan",2,3,0.05,2611,0.2,0.296812522
"9",4,0,"metropolitan",2,3,0.05,2611,0.2,0.561848364
"10",2,0,"urban",1,1,0.7,1458,17.1,1.598395679
"11",3,1,"urban",2,2,0.3,4509,2.85,1.589899243
"12",4,2,"urban",1,1,0.7,2611,2.57,0.998793062
"13",3,0,"metropolitan",1,2,0.7,2353,23.47,1.288087619
"14",3,0,"metropolitan",1,2,0.7,2353,10.78,1.30958267
"15",1,0,"urban",1,1,1.5,1948,0.98,4.78989867
"16",2,0,"urban",1,1,0.3,2841,6.65,0.509690759
"17",1,0,"urban",2,1,0.3,3498,3.8,2.665359406
"18",2,1,"metropolitan",0,1,0.7,939,22.56,1.727820574
"19",5,3,"urban",2,2,0.7,2751,11.88,0.646460642
"20",5,2,"metropolitan",2,2,1.5,4043,17.1,0.572866566
"21",3,1,"metropolitan",1,1,0.7,2204,58.66,1.144310247
"22",2,0,"metropolitan",1,1,0.3,2623,3.92,0.399752224
"23",2,0,"metropolitan",1,1,0.3,2623,3.8,0.399752224
"24",2,0,"metropolitan",1,1,0.3,2623,3.8,0.427562085
"25",2,0,"metropolitan",1,1,0.7,2393,23.75,1.066741174
"26",1,0,"metropolitan",1,1,0.7,2113,8.55,3.160936582
"27",3,0,"urban",2,1,0.7,4678,3.8,1.050131525
"28",5,3,"metropolitan",1,1,0.3,2260,16.15,0.449954966
"29",4,0,"urban",1,2,0.05,1992,13.54,0.029813013
"30",4,0,"urban",1,2,0.05,1992,13.54,0.036135898
"31",4,0,"urban",1,2,0.05,1992,9.03,0.176373788
"32",4,2,"urban",1,2,1.5,2603,8.55,0.79802824
"33",4,2,"urban",1,2,1.5,2603,7.6,0.482167786
"34",2,0,"metropolitan",1,1,0.05,2453,81.22,0.61271892
"35",7,3,"urban",3,5,1.5,3650,20.9,0.548083859
"36",7,3,"urban",3,5,1.5,3650,7.6,0.713076473
"37",7,3,"urban",3,5,1.5,3650,10.83,0.564220045
"38",4,2,"urban",2,1,0.05,3398,19,0.476823487
"39",2,0,"metropolitan",1,2,0.7,2346,63.18,8.284257629
"40",2,0,"metropolitan",1,2,0.7,2346,31.59,7.835753572
"41",2,0,"rural",1,1,0.15,3498,52.25,1.471005151
"42",2,0,"urban",2,1,0.7,2073,0.67,1.359310671
"43",2,0,"urban",2,1,0.7,2073,0.67,1.359310671
"44",4,0,"metropolitan",3,2,0.05,2595,26.6,1.211674797
"45",5,1,"urban",5,1,0.7,4695,22.8,0.243602402
"46",3,0,"urban",2,3,0.05,2299,28.5,1.000001172
"47",3,0,"metropolitan",2,1,0.3,3083,22.8,0.901400921
"48",3,0,"urban",4,2,0.15,2299,17.1,0.518576136
"49",3,0,"urban",4,2,0.15,2299,32.3,0.773746318
"50",4,2,"urban",2,2,0.7,4481,42.75,0.632041443
"51",4,2,"urban",2,2,0.7,4481,33.25,0.621667327
"52",2,0,"metropolitan",2,2,0.05,2823,4.75,1.74871226
"53",2,0,"metropolitan",2,2,0.05,2823,14.25,1.686213126
"54",4,0,"rural",3,2,0.7,8505,2.85,0.261070415
"55",4,0,"rural",3,2,0.7,8505,7.6,0.539709743
"56",2,0,"metropolitan",2,2,0.3,4481,8.55,1.91049845
"57",2,1,"metropolitan",1,1,0.05,1683,9.98,1.328827596
"58",1,0,"metropolitan",1,1,0.05,1922,14.25,1.292458564
"59",3,0,"urban",2,3,0.05,2218,19,0.912871334
"60",4,1,"urban",1,2,0.3,6562,3.8,0.582216113
"61",4,2,"urban",2,2,0.05,3424,21.85,0.857947881
"62",4,2,"urban",2,2,0.05,3424,10.45,0.907055232
"63",1,0,"metropolitan",1,1,0.7,1620,33.25,9.145156016
"64",2,0,"urban",2,1,0.7,2747,19,0.451649028
"65",1,0,"urban",1,1,0.3,2423,1.47,4.033455426
"66",4,2,"metropolitan",1,2,0.05,4467,12.64,0.646755547
"67",4,2,"metropolitan",1,2,0.05,4467,9.5,0.758147717
"68",4,2,"metropolitan",2,1,0.7,2143,7.6,0.688251671
"69",5,2,"metropolitan",1,2,0.05,3872,4.75,0.30593719
"70",4,0,"metropolitan",3,2,0.05,2902,43.7,1.435941582
"71",2,0,"metropolitan",2,2,0.7,5812,4.09,0.904518642
"72",2,0,"metropolitan",2,2,0.7,5812,30.4,0.982231386
"73",2,0,"urban",2,2,0.7,1626,6.65,0.951365687
"74",2,0,"urban",2,2,0.7,1626,38,0.849331956
"75",3,0,"metropolitan",2,3,0.15,2073,7.6,0.582878428
"76",3,0,"metropolitan",2,3,0.15,2073,7.6,0.556343152
"77",1,0,"rural",1,1,0.05,2442,1.14,3.827536166
"78",5,0,"metropolitan",2,4,0.7,3561,6.65,0.905705465
"79",2,0,"metropolitan",1,1,0.15,1686,11.4,0.869033398
"80",2,1,"rural",1,1,0.3,374,21.85,1.328599323
"81",1,0,"rural",1,1,0.05,2390,90.25,5.784863895
"82",2,0,"urban",2,1,0.7,5995,2.85,0.620974937
"83",2,0,"urban",2,1,0.7,5995,2.85,0.620974937
"84",4,2,"metropolitan",1,2,0.15,3575,1.43,0.55603362
"85",4,2,"metropolitan",1,2,0.15,3575,16.25,0.58341871
"86",6,0,"rural",4,3,3.5,3786,17.1,2.509519205
"87",6,0,"rural",4,3,3.5,3786,22.8,3.96438121
"88",6,0,"rural",4,3,3.5,3786,8.55,2.738173881
"89",1,0,"metropolitan",1,1,0.7,1162,8.33,3.317701852
"90",2,0,"rural",1,1,1.5,1762,19.95,1.085270089
"91",3,0,"urban",2,0,0.15,2434,7.13,1.072501901
"92",2,0,"urban",1,1,0.15,2390,2.85,0.990820046
"93",4,2,"metropolitan",1,2,0.05,4646,0.98,0.920114456
"94",2,0,"urban",2,1,0.15,2364,6.18,0.100276323
"95",6,4,"urban",2,2,0.15,8092,2.94,0.272752916
"96",6,4,"urban",2,2,0.15,8092,2.85,0.485149299
"97",1,0,"metropolitan",1,1,0.3,1635,16.25,2.292675157
"98",2,0,"urban",2,1,0.15,1894,2.94,0.216354334
"99",3,1,"metropolitan",2,2,0.7,3404,4.75,0.535463807
"100",3,1,"metropolitan",2,2,0.7,3404,4.75,0.535463807
"101",3,1,"urban",2,2,0.3,2902,19.95,0.750630368
"102",3,1,"urban",2,2,0.3,2902,21.85,0.713771756
"103",4,1,"urban",2,2,0.3,2204,2.85,0.79109187
"104",4,1,"urban",2,2,0.3,2204,26.6,0.9333352
"105",3,0,"metropolitan",3,2,0.15,2841,61.75,1.559151617
"106",3,0,"metropolitan",3,2,0.15,2841,61.75,1.308875703
"107",1,0,"urban",0,1,0.15,1042,6.37,1.018729687
