"mode","age","gender","income","hh_size","auto_avail","bike_avail","ttime.walk","ttime.bike","ttime.auto","ttime.transit","weight"
"bike",52,0,2018,3,0.33,1,133.91,35,16.78,30.96,1.30958267
"auto",52,1,2883,2,0.5,1,82.61,29.21,10,19.1,0.509690759
"transit",42,0,1413,2,0,1,280.25,99.09,35.11,58,1.727820574
"auto",42,0,2970,5,1,1,147.58,52.18,20,34.12,0.646460642
"auto",48,0,4413,5,1,1,212.42,75.11,30,49.11,0.572866566
"transit",41,1,2222,3,0.5,1,728.7,257.66,91.3,109,1.144310247
"bike",61,0,2686,2,1,1,48.7,20,6.1,11.26,0.399752224
"auto",49,1,2313,2,1,1,295.03,104.32,30,68.21,1.066741174
"auto",38,0,2295,1,1,0,106.21,37.55,30,24.56,3.160936582
"auto",22,0,4994,3,0.67,1,47.2,16.69,10,10.91,1.050131525
"auto",52,1,2270,5,0.5,0,200.62,70.94,15,46.39,0.449954966
"transit",58,1,1891,4,0.5,1,168.2,59.47,21.07,60,0.029813013
"transit",56,0,1960,4,0.5,1,168.2,59.47,21.07,60,0.036135898
"transit",29,0,1929,4,0.5,1,112.17,39.66,14.05,60,0.176373788
"transit",61,1,2107,2,1,0,1008.94,356.75,126.41,91,0.61271892
"auto",45,1,3057,4,1,1,236.02,83.46,30,54.57,0.476823487
"auto",54,0,2211,2,1,0,8.32,2.94,5,1.92,1.359310671
"auto",50,1,2167,4,0.75,1,330.43,116.84,45,76.4,1.211674797
"auto",49,1,4994,5,1.25,1,283.23,100.15,25,65.49,0.243602402
"auto",44,1,2110,3,0.67,0,354.04,125.18,35,81.86,1.000001172
"auto",21,1,3540,3,1,0,283.23,100.15,29,65.49,0.901400921
"auto",42,0,4274,4,1,1,531.06,187.77,60,122.79,0.632041443
"auto",44,1,4226,4,1,1,413.04,146.05,40,95.5,0.621667327
"auto",25,1,2678,2,1,0,59.01,20.86,10,13.64,1.74871226
"auto",29,0,2804,2,1,0,177.02,62.59,20,40.93,1.686213126
"auto",33,1,4053,2,1,1,106.21,37.55,15,24.56,1.91049845
"auto",40,1,1786,2,1,1,123.98,43.84,15,28.66,1.328827596
"auto",52,1,1891,1,1,0,177.02,62.59,27,40.93,1.292458564
"auto",48,0,2313,3,0.67,1,236.02,83.46,20,54.57,0.912871334
"auto",40,0,3233,4,1,1,271.43,95.97,30,62.76,0.857947881
"auto",42,1,3198,4,1,1,129.81,45.9,20,30.01,0.907055232
"auto",30,0,1701,1,1,1,413.04,146.05,30,95.5,9.145156016
"bike",28,1,2558,1,1,1,18.26,5,2.29,4.22,4.033455426
"transit",16,0,4467,4,0.5,1,157.02,55.52,19.67,42,0.646755547
"auto",40,0,4215,4,0.5,1,118.01,41.73,15,27.29,0.758147717
"auto",41,1,2442,4,1,1,94.41,33.38,25,21.83,0.688251671
"auto",53,0,3744,5,0.33,1,59.01,20.86,15,13.64,0.30593719
"auto",23,0,2804,4,1,1,542.86,191.95,80,125.51,1.435941582
"auto",51,0,5946,2,1,1,50.81,17.96,9,11.75,0.904518642
"auto",52,1,5618,2,1,1,377.64,133.53,35,87.31,0.982231386
"auto",44,0,1983,2,1,1,82.61,29.21,15,19.1,0.951365687
"auto",47,1,1542,2,1,1,472.05,166.91,45,109.14,0.849331956
"auto",51,0,2371,3,0.67,1,94.41,33.38,20,21.83,0.582878428
"auto",59,1,2416,3,0.67,1,94.41,33.38,20,21.83,0.556343152
"auto",62,1,5654,2,1,1,35.4,12.52,5,8.19,0.620974937
"bike",30,0,1455,1,1,1,103.48,30,12.96,23.93,3.317701852
"walk",16,1,4746,4,0.5,0,8,4.3,1.53,2.81,0.920114456
"auto",58,0,2100,2,1,1,76.77,27.14,17,17.75,0.100276323
"transit",42,1,1838,1,1,0,201.86,71.38,25.29,40,2.292675157
"bike",22,1,1647,2,1,1,36.52,10,4.58,8.44,0.216354334
"auto",34,0,2657,3,1,1,271.43,95.97,30,62.76,0.713771756
"auto",41,1,2916,3,1,1,767.08,271.23,55,177.36,1.559151617
"auto",47,0,2751,3,1,1,767.08,271.23,55,177.36,1.308875703
"bike",54,0,1197,1,0,1,79.13,25,9.91,18.3,1.018729687
"auto",41,1,2921,3,1,1,212.42,75.11,30,49.11,0.688100882
"auto",44,1,1329,1,1,1,23.6,8.35,10,5.46,2.720214128
"auto",39,0,1698,3,0.5,1,94.41,33.38,15,21.83,1.589073887
"bike",43,1,2832,3,0.5,1,97.39,30,12.2,22.52,1.204103037
"transit",42,0,2682,3,0.5,0,269.07,95.14,33.71,35,1.108836125
"auto",49,1,4799,3,1,1,141.61,50.07,15,32.74,1.050036626
"auto",35,0,3366,3,1,1,94.41,33.38,10,21.83,1.433601059
"auto",25,1,2511,3,0.33,0,59.01,20.86,6,13.64,1.522545359
"bike",61,1,1530,4,0,1,54.78,30,6.86,12.67,0.561956795
"auto",42,0,1970,5,0.67,1,70.81,25.04,20,16.37,1.002487983
"auto",19,0,2034,2,1,1,177.02,62.59,15,40.93,0.896418804
"auto",52,0,2587,2,1,0,35.4,12.52,10,8.19,0.548019429
"auto",49,1,4695,3,1,1,236.02,83.46,24,54.57,0.637814211
"walk",40,0,4854,3,1,1,5,3.43,1.21,2.24,0.920278979
"auto",45,0,1894,2,1,0,35.4,12.52,15,8.19,0.833847207
"auto",52,0,4192,2,0.5,1,33.04,11.68,10,7.64,0.986719824
"auto",34,0,6213,3,1,1,306.83,108.49,50,70.94,1.314200466
"bike",58,0,6098,2,1,1,12.17,10,1.53,2.81,0.680562035
"auto",60,1,6154,2,1,1,389.44,137.7,35,90.04,0.656963025
"auto",53,1,3131,5,0.5,0,82.61,29.21,10,19.1,0.403427414
"transit",21,0,3215,5,0.5,0,448.45,158.57,56.19,60,0.72681319
"auto",61,0,3498,2,1,1,118.01,41.73,20,27.29,0.867226562
"transit",56,0,1894,2,1,0,112.17,39.66,14.05,15,0.531294768
"walk",55,0,2955,3,1,1,20,10.76,3.81,7.04,1.104830384
"transit",43,0,2773,2,0.5,1,213.04,75.33,26.69,55,1.545327337
"auto",56,1,4192,3,0.5,1,354.04,125.18,45,81.86,1.236461163
"bike",46,0,4074,3,0.5,1,18.26,3,2.29,4.22,1.481933306
"auto",36,1,2120,4,1,1,70.81,25.04,15,16.37,1.015357088
"transit",33,0,2107,4,1,1,56.02,19.81,7.02,40,0.73937783
"auto",42,1,2324,4,1,1,153.42,54.25,15,35.47,1.11336092
"auto",41,0,4003,2,1,1,47.2,16.69,10,10.91,1.388990305
"auto",62,1,3334,2,1,0,94.41,33.38,45,21.83,0.95057434
"auto",50,0,2492,2,0.5,1,212.42,75.11,20,49.11,0.722359231
"auto",59,0,2031,2,1,1,35.4,12.52,10,8.19,0.640213302
"auto",53,0,1146,3,0.5,1,9.44,3.34,5,2.18,0.308482311
"auto",41,0,3704,3,1,1,295.03,104.32,40,68.21,0.724407596
"transit",58,0,5279,2,1,1,67.33,23.81,8.44,45,0.515559651
"auto",41,1,1419,6,1,0,365.84,129.36,40,84.59,1.719988136
"bike",55,1,3398,2,0.5,1,24.35,15,3.05,5.63,1.605650301
"bike",53,0,3176,2,0.5,1,54.78,20,6.86,12.67,1.471450143
"auto",53,0,2077,1,1,1,23.6,8.35,15,5.46,1.642376126
"auto",27,1,3673,3,0.67,0,17.76,6.28,10,4.11,1.076493232
"auto",34,1,1485,1,0,1,106.21,37.55,20,24.56,5.901009995
"auto",43,1,4728,4,1,1,354.04,125.18,30,81.86,1.003109824
"auto",23,0,3590,3,1,1,295.03,104.32,25,68.21,1.145491019
"transit",45,1,3650,3,0.5,1,280.25,99.09,35.11,30,0.438277655
"transit",40,1,4250,3,0.5,0,313.91,111,39.33,60,1.448715703
"auto",43,1,2578,3,1,1,283.23,100.15,25,65.49,0.982643583
"auto",59,0,2846,2,1,0,41.37,14.63,20,9.56,1.221313224
"auto",46,0,3554,4,0.33,1,47.2,16.69,15,10.91,0.118768513
"auto",57,1,1137,1,1,0,118.01,41.73,20,27.29,4.025958723
"auto",48,0,2607,5,0.6,1,59.01,20.86,30,13.64,0.490653108
"auto",19,1,2751,5,0.6,0,59.01,20.86,15,13.64,0.556733026
"bike",53,1,2931,5,0.6,0,60.87,30,7.63,14.07,0.382141543
"auto",57,1,2167,2,1,1,295.03,104.32,35,68.21,0.352529581
"bike",45,0,5015,4,0.75,1,12.17,5,1.53,2.81,1.432077147
"auto",47,1,5128,4,0.75,1,413.04,146.05,30,95.5,1.408571512
"auto",20,0,5362,4,0.75,1,59.01,20.86,10,13.64,2.415194349
"auto",64,0,957,2,0.5,1,76.77,27.14,20,17.75,1.640853308
"auto",37,1,2327,2,1,0,82.61,29.21,15,19.1,1.450660171
"auto",33,0,2073,2,1,0,59.01,20.86,15,13.64,1.755857412
"auto",34,1,2299,1,1,1,389.44,137.7,25,90.04,7.662806454
"auto",25,0,5279,3,1,0,495.65,175.26,40,114.6,2.612827653
"auto",58,1,5037,3,1,0,365.84,129.36,30,84.59,1.094976516
"auto",52,0,5583,3,1,0,118.01,41.73,10,27.29,1.249018219
"auto",60,0,1897,2,0.5,1,47.2,16.69,10,10.91,1.07460702
"auto",65,0,2562,2,1,1,10.68,3.78,5,2.47,1.232874328
"auto",51,1,2661,2,1,1,236.02,83.46,30,54.57,1.031753855
