hh_size,n_children,region_type,hh_autos,n_emp,dist_to_transit,hh_income,trip_length_km,weight
3,1,metropolitan,1,2,0.3,2253,2.85,1.212781412
4,1,urban,2,3,0.3,2751,0.49,0.936544048
4,1,urban,2,3,0.3,2751,5.7,1.225885756
4,1,urban,2,3,0.3,2751,0.98,1.056362832
4,1,urban,2,3,0.3,2751,0.95,1.056362832
4,0,metropolitan,2,3,0.05,2611,0.2,0.793334761
4,0,metropolitan,2,3,0.05,2611,0.2,0.309809456
4,0,metropolitan,2,3,0.05,2611,0.2,0.296812522
4,0,metropolitan,2,3,0.05,2611,0.2,0.561848364
2,0,urban,1,1,0.7,1458,17.1,1.598395679
3,1,urban,2,2,0.3,4509,2.85,1.589899243
4,2,urban,1,1,0.7,2611,2.57,0.998793062
3,0,metropolitan,1,2,0.7,2353,23.47,1.288087619
3,0,metropolitan,1,2,0.7,2353,10.78,1.30958267
1,0,urban,1,1,1.5,1948,0.98,4.78989867
2,0,urban,1,1,0.3,2841,6.65,0.509690759
1,0,urban,2,1,0.3,3498,3.8,2.665359406
2,1,metropolitan,0,1,0.7,939,22.56,1.727820574
5,3,urban,2,2,0.7,2751,11.88,0.646460642
5,2,metropolitan,2,2,1.5,4043,17.1,0.572866566
3,1,metropolitan,1,1,0.7,2204,58.66,1.144310247
2,0,metropolitan,1,1,0.3,2623,3.92,0.399752224
2,0,metropolitan,1,1,0.3,2623,3.8,0.399752224
2,0,metropolitan,1,1,0.3,2623,3.8,0.427562085
2,0,metropolitan,1,1,0.7,2393,23.75,1.066741174
1,0,metropolitan,1,1,0.7,2113,8.55,3.160936582
3,0,urban,2,1,0.7,4678,3.8,1.050131525
5,3,metropolitan,1,1,0.3,2260,16.15,0.449954966
4,0,urban,1,2,0.05,1992,13.54,0.029813013
4,0,urban,1,2,0.05,1992,13.54,0.036135898
4,0,urban,1,2,0.05,1992,9.03,0.176373788
4,2,urban,1,2,1.5,2603,8.55,0.79802824
4,2,urban,1,2,1.5,2603,7.6,0.482167786
2,0,metropolitan,1,1,0.05,2453,81.22,0.61271892
7,3,urban,3,5,1.5,3650,20.9,0.548083859
7,3,urban,3,5,1.5,3650,7.6,0.713076473
7,3,urban,3,5,1.5,3650,10.83,0.564220045
4,2,urban,2,1,0.05,3398,19,0.476823487
2,0,metropolitan,1,2,0.7,2346,63.18,8.284257629
2,0,metropolitan,1,2,0.7,2346,31.59,7.835753572
2,0,rural,1,1,0.15,3498,52.25,1.471005151
2,0,urban,2,1,0.7,2073,0.67,1.359310671
2,0,urban,2,1,0.7,2073,0.67,1.359310671
4,0,metropolitan,3,2,0.05,2595,26.6,1.211674797
5,1,urban,5,1,0.7,4695,22.8,0.243602402
3,0,urban,2,3,0.05,2299,28.5,1.000001172
3,0,metropolitan,2,1,0.3,3083,22.8,0.901400921
3,0,urban,4,2,0.15,2299,17.1,0.518576136
3,0,urban,4,2,0.15,2299,32.3,0.773746318
4,2,urban,2,2,0.7,4481,42.75,0.632041443
4,2,urban,2,2,0.7,4481,33.25,0.621667327
2,0,metropolitan,2,2,0.05,2823,4.75,1.74871226
2,0,metropolitan,2,2,0.05,2823,14.25,1.686213126
4,0,rural,3,2,0.7,8505,2.85,0.261070415
4,0,rural,3,2,0.7,8505,7.6,0.539709743
2,0,metropolitan,2,2,0.3,4481,8.55,1.91049845
2,1,metropolitan,1,1,0.05,1683,9.98,1.328827596
1,0,metropolitan,1,1,0.05,1922,14.25,1.292458564
3,0,urban,2,3,0.05,2218,19,0.912871334
4,1,urban,1,2,0.3,6562,3.8,0.582216113
4,2,urban,2,2,0.05,3424,21.85,0.857947881
4,2,urban,2,2,0.05,3424,10.45,0.907055232
1,0,metropolitan,1,1,0.7,1620,33.25,9.145156016
2,0,urban,2,1,0.7,2747,19,0.451649028
1,0,urban,1,1,0.3,2423,1.47,4.033455426
4,2,metropolitan,1,2,0.05,4467,12.64,0.646755547
4,2,metropolitan,1,2,0.05,4467,9.5,0.758147717
4,2,metropolitan,2,1,0.7,2143,7.6,0.688251671
5,2,metropolitan,1,2,0.05,3872,4.75,0.30593719
4,0,metropolitan,3,2,0.05,2902,43.7,1.435941582
2,0,metropolitan,2,2,0.7,5812,4.09,0.904518642
2,0,metropolitan,2,2,0.7,5812,30.4,0.982231386
2,0,urban,2,2,0.7,1626,6.65,0.951365687
2,0,urban,2,2,0.7,1626,38,0.849331956
3,0,metropolitan,2,3,0.15,2073,7.6,0.582878428
3,0,metropolitan,2,3,0.15,2073,7.6,0.556343152
1,0,rural,1,1,0.05,2442,1.14,3.827536166
5,0,metropolitan,2,4,0.7,3561,6.65,0.905705465
2,0,metropolitan,1,1,0.15,1686,11.4,0.869033398
2,1,rural,1,1,0.3,374,21.85,1.328599323
1,0,rural,1,1,0.05,2390,90.25,5.784863895
2,0,urban,2,1,0.7,5995,2.85,0.620974937
2,0,urban,2,1,0.7,5995,2.85,0.620974937
4,2,metropolitan,1,2,0.15,3575,1.43,0.55603362
4,2,metropolitan,1,2,0.15,3575,16.25,0.58341871
6,0,rural,4,3,3.5,3786,17.1,2.509519205
6,0,rural,4,3,3.5,3786,22.8,3.96438121
6,0,rural,4,3,3.5,3786,8.55,2.738173881
1,0,metropolitan,1,1,0.7,1162,8.33,3.317701852
2,0,rural,1,1,1.5,1762,19.95,1.085270089
3,0,urban,2,0,0.15,2434,7.13,1.072501901
